what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1411220517809
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1411220517809
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1411220517809
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1411220517824
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1411220517824
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1411220517824
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1411220517824
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1411220517824
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1411220517824
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1411220517840
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1411220517840
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1411220517840
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1411220517840
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1411220517840
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1411220517840
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1411220517840
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1411220517840
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1411220517840
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411220517840
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1411220517856
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411220517856
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1411220517856
os,sysinfo,,,"win32",1411220517871
arch,sysinfo,,,"x86",1411220517871
ws,sysinfo,,,"win32",1411220517871
locale,sysinfo,,,"es_ES",1411220517871
processors,sysinfo,,,"4",1411220517871
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411220517871
java.runtime.version,sysinfo,,,"1.7.0_65-b20",1411220517871
java.specification.name,sysinfo,,,"Java Platform API Specification",1411220517871
java.specification.vendor,sysinfo,,,"Oracle Corporation",1411220517871
java.specification.version,sysinfo,,,"1.7",1411220517871
java.vendor,sysinfo,,,"Oracle Corporation",1411220517871
java.version,sysinfo,,,"1.7.0_65",1411220517871
java.vm.info,sysinfo,,,"mixed mode, sharing",1411220517871
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411220517871
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411220517871
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1411220517871
java.vm.specification.version,sysinfo,,,"1.7",1411220517871
java.vm.vendor,sysinfo,,,"Oracle Corporation",1411220517871
java.vm.version,sysinfo,,,"24.65-b04",1411220517871
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1411220517887
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1411220518168
started,bundle,com.android.ide.eclipse.base,23.0.2.1259578,"com.android.ide.eclipse.base",1411220518199
started,bundle,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.adt",1411220518308
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1411220518308
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1411220518433
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1411220518526
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1411220518526
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1411220518542
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1411220518542
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1411220518760
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1411220518792
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1411220518807
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1411220518807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220519057
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1411220519228
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1411220519821
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1411220519852
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1411220519993
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1411220519993
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1411220519993
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1411220519993
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1411220520008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220525531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220529524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220540788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220545124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220585154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1411220585185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220603999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220655994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220656212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220657086
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411220657242
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1411220657569
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1411220657585
error,log,,,"Invalid preference page path: Logging",1411220657694
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1411220657803
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1411220657803
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1411220657803
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1411220657803
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1411220657803
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1411220657803
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1411220657819
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1411220657819
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,23.0.2.1259578,"overlay.com.android.ide.eclipse.adt.overlay",1411220657819
stopped,bundle,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.adt",1411220657819
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1411220657819
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1411220657819
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1411220657819
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1411220657819
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1411220657835
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1411220657835
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1411220657835
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1411220657835
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1411220657835
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.bpm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.bpm",1411220657835
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.cdm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.cdm",1411220657835
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.eam,16.1.0,"com.sybase.stf.powerdesigner.eclipse.eam",1411220657835
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.frm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.frm",1411220657835
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.iam,16.1.0,"com.sybase.stf.powerdesigner.eclipse.iam",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.ilm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.ilm",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.ldm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.ldm",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.mtm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.mtm",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.oom,16.1.0,"com.sybase.stf.powerdesigner.eclipse.oom",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.pdm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.pdm",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.prj,16.1.0,"com.sybase.stf.powerdesigner.eclipse.prj",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.rqm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.rqm",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse.xsm,16.1.0,"com.sybase.stf.powerdesigner.eclipse.xsm",1411220657850
stopped,bundle,com.sybase.stf.powerdesigner.eclipse,16.1.0,"com.sybase.stf.powerdesigner.eclipse",1411220657850
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1411220657866
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1411220657866
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1411220657866
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1411220657866
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1411220657866
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1411220657866
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1411220657866
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1411220657866
