what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1411329263838
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1411329263842
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1411329263845
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1411329263851
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1411329263853
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1411329263854
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1411329263872
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1411329263874
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1411329263875
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1411329263878
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1411329263880
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1411329263882
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1411329263885
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1411329263885
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1411329263888
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1411329263890
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1411329263892
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1411329263894
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1411329263898
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1411329263902
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1411329263904
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1411329263905
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1411329263907
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1411329263934
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1411329263936
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1411329263939
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1411329263941
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1411329263943
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1411329263944
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1411329263947
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1411329263949
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1411329263950
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1411329263953
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1411329263955
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411329263956
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1411329263959
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411329263960
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1411329263962
os,sysinfo,,,"win32",1411329263969
arch,sysinfo,,,"x86",1411329263969
ws,sysinfo,,,"win32",1411329263969
locale,sysinfo,,,"es_ES",1411329263969
processors,sysinfo,,,"4",1411329263969
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411329263969
java.runtime.version,sysinfo,,,"1.7.0_65-b20",1411329263969
java.specification.name,sysinfo,,,"Java Platform API Specification",1411329263969
java.specification.vendor,sysinfo,,,"Oracle Corporation",1411329263969
java.specification.version,sysinfo,,,"1.7",1411329263969
java.vendor,sysinfo,,,"Oracle Corporation",1411329263969
java.version,sysinfo,,,"1.7.0_65",1411329263969
java.vm.info,sysinfo,,,"mixed mode, sharing",1411329263969
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411329263969
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411329263969
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1411329263969
java.vm.specification.version,sysinfo,,,"1.7",1411329263969
java.vm.vendor,sysinfo,,,"Oracle Corporation",1411329263969
java.vm.version,sysinfo,,,"24.65-b04",1411329263969
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1411329263979
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1411329264637
started,bundle,com.android.ide.eclipse.base,23.0.2.1259578,"com.android.ide.eclipse.base",1411329264682
started,bundle,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.adt",1411329264826
